Player,Team,Pos.,yds,routes,tgts,Yds/Rt,Open,Catch,YAC,OverallOVR,Year
Antonio Brown,Steelers,WR,"1,665",502,162,3.3,92,88,56,98,2017
Michael Thomas,Saints,WR,"1,612",542,161,3.0,80,94,60,96,2018
Michael Thomas,Saints,WR,"1,795",553,184,3.2,93,77,57,94,2019
DeAndre Hopkins,Texans,WR,"1,378",528,164,2.6,89,87,50,93,2017
A.J. Brown,Titans,WR,"1,115",395,89,2.8,80,53,97,92,2019
Stefon Diggs,Bills,WR,"1,846",634,182,2.9,84,84,55,91,2020
Justin Jefferson,Vikings,WR,"1,400",461,119,3.0,78,75,69,89,2020
Davante Adams,Packers,WR,"1,507",455,149,3.3,99,61,46,88,2020
A.J. Brown,Eagles,WR,"1,642",592,161,2.8,92,61,62,88,2022
Jakobi Meyers,Patriots,WR,729,269,79,2.7,99,63,42,88,2020
Michael Thomas,Saints,WR,"1,461",493,158,3.0,87,78,46,86,2017
Justin Jefferson,Vikings,WR,"1,856",667,184,2.8,81,81,50,85,2022
Cooper Kupp,Rams,WR,"2,425",670,210,3.6,76,75,64,85,2021
Tyler Lockett,Seahawks,WR,"1,072",542,122,2.0,95,79,29,84,2022
Davante Adams,Packers,WR,"1,643",501,165,3.3,85,72,49,83,2021
Mark Andrews,Ravens,TE,"1,361",574,149,2.4,82,73,51,83,2021
Kendrick Bourne,Patriots,WR,877,383,69,2.3,59,83,74,83,2021
Stefon Diggs,Bills,WR,"1,578",619,161,2.5,83,81,43,83,2022
A.J. Brown,Titans,WR,"1,158",399,112,2.9,72,64,76,82,2020
Stefon Diggs,Vikings,WR,"1,206",408,100,3.0,80,69,57,82,2019
Amari Cooper,Cowboys,WR,"1,176",528,116,2.2,72,69,67,81,2018
Diontae Johnson,Steelers,WR,882,581,144,1.5,99,56,43,81,2022
Calvin Ridley,Falcons,WR,"1,374",512,141,2.7,90,63,49,81,2020
Justin Jefferson,Vikings,WR,"1,616",533,149,3.0,94,53,51,80,2021
Ja'Marr Chase,Bengals,WR,"1,823",672,150,2.7,61,64,84,79,2021
George Kittle,49ers,TE,929,446,91,2.1,70,79,53,79,2022
Terry McLaurin,Commanders,WR,919,387,88,2.4,73,72,58,79,2019
Keenan Allen,Chargers,WR,"1,393",497,151,2.8,85,65,46,78,2017
Danny Amendola,Patriots,WR,"1,007",454,110,2.2,77,80,40,78,2017
A.J. Brown,Titans,WR,"1,011",321,109,3.1,99,36,53,78,2021
Stefon Diggs,Vikings,WR,"1,056",466,110,2.3,66,79,57,78,2017
Mike Evans,Buccaneers,WR,"1,524",592,135,2.6,71,80,49,78,2018
Tyler Lockett,Seahawks,WR,"1,085",419,68,2.6,61,94,47,78,2018
Brandon Aiyuk,49ers,WR,"1,124",546,116,2.1,81,62,54,77,2022
Stefon Diggs,Bills,WR,"1,292",602,159,2.1,93,52,46,77,2021
Mike Evans,Buccaneers,WR,"1,157",450,114,2.6,86,59,49,77,2019
Chris Godwin,Buccaneers,WR,"1,333",520,105,2.6,45,89,75,77,2019
Tee Higgins,Bengals,WR,"1,177",616,133,1.9,67,83,50,77,2022
DeAndre Hopkins,Texans,WR,"1,609",605,160,2.7,65,88,46,77,2018
George Kittle,49ers,TE,"1,018",380,97,2.7,70,66,64,77,2021
Tyler Lockett,Seahawks,WR,"1,175",439,102,2.7,67,84,48,77,2021
Chris Olave,Saints,WR,"1,042",403,111,2.6,82,69,45,77,2022
Robert Woods,Rams,WR,923,359,91,2.6,68,78,54,77,2017
Ted Ginn,Saints,WR,974,401,76,2.4,63,78,59,76,2017
Tyreek Hill,Chiefs,WR,"1,631",620,151,2.6,79,50,66,76,2020
Zach Ertz,Eagles,TE,"1,016",444,127,2.3,80,76,34,75,2017
Tyreek Hill,Dolphins,WR,"1,779",547,171,3.3,85,63,42,75,2022
Travis Kelce,Chiefs,TE,"1,595",616,163,2.6,78,65,50,75,2022
Deonte Harty,Saints,WR,570,181,51,3.1,81,44,67,74,2021
Rashard Higgins,Browns,WR,715,306,65,2.3,76,71,43,74,2020
DeAndre Hopkins,Cardinals,WR,"1,407",533,142,2.6,69,65,60,74,2020
Diontae Johnson,Steelers,WR,680,356,81,1.9,91,45,51,74,2019
CeeDee Lamb,Cowboys,WR,"1,544",598,159,2.6,85,55,49,74,2022
Sterling Shepard,Giants,WR,656,345,85,1.9,77,72,40,74,2020
DeVonta Smith,Eagles,WR,"1,393",618,137,2.3,63,76,56,74,2022
Keenan Allen,Chargers,WR,"1,308",486,133,2.7,81,63,44,73,2018
Chris Godwin,Buccaneers,WR,842,417,92,2.0,65,68,61,73,2018
Julio Jones,Falcons,WR,"1,639",474,166,3.5,70,61,60,73,2017
DK Metcalf,Seahawks,WR,"1,119",541,106,2.1,61,66,67,73,2019
Darren Waller,Raiders,TE,"1,196",448,133,2.7,73,68,50,73,2020
Doug Baldwin,Seahawks,WR,650,337,76,1.9,82,56,46,72,2018
Stefon Diggs,Vikings,WR,"1,021",494,125,2.1,63,70,59,72,2018
Russell Gage,Falcons,WR,770,355,86,2.2,82,55,48,72,2021
Rob Gronkowski,Patriots,TE,"1,302",482,130,2.7,54,92,48,72,2017
Antonio Brown,Buccaneers,WR,545,161,52,3.4,85,57,41,71,2021
DeAndre Hopkins,Texans,WR,"1,373",609,158,2.3,82,58,43,71,2019
George Kittle,49ers,TE,634,184,55,3.4,64,58,70,71,2020
George Pickens,Steelers,WR,801,551,85,1.5,48,99,41,71,2022
Adam Thielen,Vikings,WR,726,374,87,1.9,63,79,47,71,2021
Tyler Boyd,Bengals,WR,851,606,90,1.4,62,79,47,70,2022
John Brown,Bills,WR,"1,110",498,120,2.2,76,62,45,70,2019
Ja'Marr Chase,Bengals,WR,"1,266",600,146,2.1,68,53,65,70,2022
Dallas Goedert,Eagles,TE,922,319,76,2.9,57,68,65,70,2021
DeSean Jackson,Buccaneers,WR,774,325,73,2.4,89,38,52,70,2018
Tyler Lockett,Seahawks,WR,"1,255",575,124,2.2,59,86,41,70,2019
Terry McLaurin,Commanders,WR,"1,191",541,113,2.2,51,77,64,70,2022
DK Metcalf,Seahawks,WR,967,442,122,2.2,76,47,61,70,2021
Hunter Renfrow,Raiders,WR,"1,096",506,125,2.2,72,68,43,70,2021
